Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Weed, Ethan; Fusaroli, Riccardo; Mayo, Jessica; Eigsti, Inge-Marie; ",Subgroup Identification of Speakers with and without ASD Using Network Models of Acoustic Features of Prosody and Voice,INSAR 2020 Virtual,,,,2020,
"Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Spontaneous Linguistic Alignment Is Reduced and Less Flexible in Children with ASD,INSAR 2020 Virtual,,,,2020,
"Fusaroli, Riccardo; Grossman, Ruth; Bilenberg, Niels; Cantio, Cathriona; Jepsen, Jens Richardt Møllegaard; Weed, Ethan; ",Toward a cumulative science of vocal markers of autism: A cross‐linguistic meta‐analysis‐based investigation of acoustic markers in American and Danish autistic children,Autism Research,15,4,653-664,2022,"John Wiley & Sons, Inc. Hoboken, USA"
"Fusaroli, Riccardo; Weed, Ethan; Rocca, Roberta; Fein, Deborah; Naigles, Letitia; ",Caregiver linguistic alignment to autistic and typically developing children: A natural language processing approach illuminates the interactive components of language development,Cognition,236,,105422,2023,Elsevier
"Rybner, Astrid; Jessen, Emil Trenckner; Mortensen, Marie Damsgaard; Larsen, Stine Nyhus; Grossman, Ruth; Bilenberg, Niels; Cantio, Cathriona; Jepsen, Jens Richardt Møllegaard; Weed, Ethan; Simonsen, Arndis; ",Vocal markers of autism: Assessing the generalizability of machine learning models,Autism Research,15,6,1018-1030,2022,"John Wiley & Sons, Inc. Hoboken, USA"
"Weed, Ethan; Fusaroli, Riccardo; Simmons, Elizabeth; Eigsti, Inge-Marie; ",Different in different ways: A network-analysis approach to voice and prosody in Autism Spectrum Disorder,Language Learning and Development,20,1,40-57,2024,Psychology Press
"Ottosen, Helle Fredslund; Bønnerup, Katrine H; Weed, Ethan; Parrila, Rauno; ",Identifying dyslexia at the university: assessing phonological coding is not enough,Annals of Dyslexia,72,1,147-170,2022,Springer US New York
"Fusaroli, Riccardo; Weed, Ethan; Rocca, Roberta; Fein, Deborah; Naigles, Letitia; ",Repeat after me? Both children with and without autism commonly align their language with that of their caregivers,Cognitive Science,47,11,e13369,2023,
"Hansen, Lasse; Rocca, Roberta; Simonsen, Arndis; Olsen, Ludvig; Parola, Alberto; Bliksted, Vibeke; Ladegaard, Nicolai; Bang, Dan; Tylén, Kristian; Weed, Ethan; ",Speech-and text-based classification of neuropsychiatric conditions in a multidiagnostic setting,Nature Mental Health,1,12,971-981,2023,Nature Publishing Group US New York
"Fusaroli, Riccardo; Weed, Ethan; Berger, Deborah F; Naigles, Letitia; ",Both children with and without autism commonly align their language with that of their caregivers,INSAR 2023,,,,2023,INSAR
"Corrigan, Grace; Carmona, Juandiego; Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Autistic teenagers lexically align at similar rates to typically developing peers,Age (Years),20,15.30,15-30,2023,
"Fumel, Jules; BAHUAUD, Delphine; WEED, Ethan; FUSAROLI, Riccardo; Basirat, Anahita; ",Impact de la maladie de Parkinson sur les paramètres acoustiques de la prosodie: une revue systématique et une méta-analyse Bayésienne,9ème Journée de Phonétique Clinique,,,49,2023,
"Rybner, Astrid; Jessen, Emil Trenckner; Damsgraad Mortensen, M; Larsen, Stine Nyhus; Grossman, Ruth; Bilenberg, Niels; Cantio, Cathriona; Jepsen, Jens Richardt Møllegaard; Weed, Ethan; Simonsen, Arndis; ",Vocal markers of Autism Spectrum Disorder: assessing the generalizability of machine learning models,Autism Research,,,1-13,2021,
"Björnsdóttir, Marina; Hollenstein, Nora; Weed, Ethan; ",Påvisning af ordblindhed ud fra eye tracking-optagelser på dansk,"NyS, Nydanske Sprogstudier",,63,47-73,2023,
"Björnsdóttir, Marina; Hollenstein, Nora; Weed, Ethan; ",Detection of dyslexia in Danish based on eye tracking recordings,"NyS, Nydanske Sprogstudier",,63,206-206,2023,
"Weed, Ethan; Fusaroli, Riccardo; Simmons, Elizabeth Schoen; Eigsti, Inge-Marie; ",Different Together: Prosodic Network Communities in Speakers with and without ASD,INSAR 2023,,,,2023,INSAR
"Weed, Ethan; Petersen, Bjørn; Sørensen, Stine Derdau; ","Music, Voice, and Auditory Brainstem Response",,,,,,
"Weed, Ethan; Fusaroli, Riccardo; Fein, Deborah; Naigles, Letitia; ",Longitudinal adaptation in language development: A study of typically-developing children and children with ASD,2015 Society for Research in Child Development Biennial Meeting,,,,2015,
"Fusaroli, Riccardo; Lambrechts, Anna; Weed, Ethan; Yarrow, Kielan; Maras, Katie; Bowler, Dermot; Gaigg, Sebastian; ",Social impairment in conversation: disfluency and compensatory mechanisms,IMFAR 2017,,,,2017,
"Weed, Ethan; Fusaroli, Riccardo; Tranbjerg, Jonas; Fein, Deborah; Naigles, Letitia; ",Speech turn dynamics in a longitudinal corpus of child-caregiver interactions,,,,,2017,
"Weed, Ethan; Allen, Micah Galen; Gramm, Daniel; ",Negative “gossip” stimuli modulate left-lateralized P1 component while viewing neutral faces.,Society for the Neurobiology of Language Conference 2012,,,,2012,
"Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ","Parental linguistic alignment to their children facilitates language acquisition, with syntactic alignment being particularly relevant for children with ASD",INSAR 2019,,,,2019,
"Bønnerup, Katrine H; Weed, Ethan; Parrila, Rauno; Ottosen, Helle Fredslund; ","Correction to: Identifying dyslexia at the university: assessing phonological coding is not enough (Annals of Dyslexia,(2022), 72, 1,(147-170), 10.1007/s11881-021-00247-9)",Annals of Dyslexia,72,3,566-567,2022,Springer
"Ottosen, Helle Fredslund; Bønnerup, Katrine Hammer; Weed, Ethan; ",Word level problems in Danish students assessed for dyslexia in higher education,,,,,2019,
"Weed, Ethan; Fusaroli, Riccardo; Mayo, Jessica; Eigsti, Inge-Marie; ",Symptom severity and acoustically-identified groups of speakers with and without autism spectrum disorder,MOLA 2020 (Cancelled),,,,2020,
"Sørensen, Louise Langhoff; Ravn, Ida Elise; Weed, Ethan; ",Testning af alment ordforråd hos danske universitetsstuderende: et normeringsstudie,Dansk Audiologopaedi,53,1,10-15,2017,Audiologopædisk Forening
"Fusaroli, Riccardo; Weed, Ethan; Lambrechts, Anna; Bowler, Dermot; Gaigg, Sebastian; ",Towards a cumulative science of prosody in ASD,INSAR 2018: Annual meeting,,,,2018,
"Zareini, Bochra; Nielsen, Jørgen Feldbæk; Kock-Jensen, Carsten; Vuust, Peter; Weed, Ethan; Pedersen, Michael Nygaard; Overgaard, Morten; ",Cognitive Complexity and Disorders of Consciousness,,,,,2013,
"Weed, Ethan; ","Getting the Message Right: Social Cognition, Pragmatic Impairment, and Right Hemisphere Damage",,,,,2011,Århus Universitet
