title,video_id,description,sort
"How to add feedback to a lab.js experiment","FKeW28S-M_g","Pretty much what it says on the tin. The video is too long, but this was before I learned the value of brevity",1
"Simple variables and debugging in lab.js","mMt-K8Na7lk","This is just a quick video for my students showing some of the basic functions of variables in lab.js. This is not a tutorial! lab.js already has an excellent set of tutorial videos and other resources",2
"Plotting pitch and intensity contours with annotations in Praat","ZWUgnx82EbY","I think I just made this video to show a student how to do this in Praat – I never imagined it would get so many views. I kinda want to redo it now, without the weird glitch when selecting in Praat, but I know I never will",3
